crn,dept,course_id,instructor,title,modality,credits,capacity,days,start_time,end_time,location
80061,AAD,AAD 1004,RJ Jacks,"Exploring Arch, Arts, & Design",F2F,2,45,T R,11:00AM,12:15PM,WHIT 257
80062,AAD,AAD 1204,GW Hamming,Thinking Globally,F2F,1,48,W,2:30PM,3:20PM,WLH 345
80063,AAD,AAD 1204,GW Hamming,Thinking Globally,F2F,1,48,M,2:30PM,3:20PM,WLH 345
80064,AAD,AAD 4234,BR Kirkland,Capstone Collaborations,F2F,3,15,W,9:30AM,12:00PM,BURCH 021
80065,AAEC,AAEC 1005,MJ Ellerbrock,Econ Food Fiber Sys,F2F,3,600,M W F,10:10AM,11:00AM,SQUIR COLNL
80066,AAEC,AAEC 1005,PW Vertino de Queiroz,Econ Food Fiber Sys,F2F,3,100,M W F,11:15AM,12:05PM,LITRV 1870
80067,AAEC,AAEC 1006,R Ojha,Econ Food Fiber Syst,F2F,3,55,M W F,11:15AM,12:05PM,WLH 350
80068,AAEC,AAEC 1006,MJ Ellerbrock,Econ Food Fiber Syst,F2F,3,296,M W F,12:20PM,1:10PM,LITRV 1670
80069,AAEC,AAEC 2104,WA White,Personal Financial Planning,F2F,3,600,M W F,9:05AM,9:55AM,SQUIR COLNL
80070,AAEC,AAEC 2434,PW Vertino de Queiroz,Foundations of Agribusiness,F2F,3,127,M W,2:30PM,3:45PM,SMYTH 146
80072,AAEC,AAEC 3004,C Holmes,Agr Prod & Cons Econ,F2F,3,52,T R,3:30PM,4:45PM,LITRV 1760
80073,AAEC,AAEC 3015,PM Mercadante,AAEC Internship,F2F,1,35,M,12:20PM,1:10PM,LITRV 200
80074,AAEC,AAEC 3015,PM Mercadante,AAEC Internship,F2F,1,35,W,1:25PM,2:15PM,PAM 2003
80075,AAEC,AAEC 3204,A Gupta,Intl Agri Dvlp & Trad,F2F,3,40,T R,11:00AM,12:15PM,MCB 218
80076,AAEC,AAEC 3314,J Friedel,Environmental Law,F2F,3,96,T R,12:30PM,1:45PM,MCB 113
80077,AAEC,AAEC 3324,W Zhang,Environment Sustain Dev Econ,F2F,3,45,T R,9:30AM,10:45AM,HUTCH 209
80078,AAEC,AAEC 3454,PM Mercadante,Small Bus Mgt and Ent,F2F,3,32,T R,9:30AM,10:45AM,MCB 233
80079,AAEC,AAEC 3504,PW Vertino de Queiroz,Marketing Ag Products,F2F,3,96,M W,4:00PM,5:15PM,MCB 113
80080,AAEC,AAEC 3514,O Isengildina Massa,Ag Futures,F2F,3,60,M W F,1:25PM,2:15PM,FST 27
91688,AAEC,AAEC 3984,DW Dalton,SS: Cooperatives & Impacts,OnlineAsync,3,60,(ARR),(ARR),(ARR),00X
80081,AAEC,AAEC 4324,JR Alwang,Rural Regional Dvlp Policy,F2F,3,35,T R,9:30AM,10:45AM,LITRV 1770
80082,AAEC,AAEC 4424,WA White,Ag Financial Management,F2F,3,48,M W,4:00PM,5:15PM,HUTCH 209
80083,AAEC,AAEC 4434,O Isengildina Massa,Commodity Invest by Students,F2F,2,35,W,5:30PM,6:30PM,FRALN 102
80084,AAEC,AAEC 4514,PM Mercadante,Adv Agribus Mkting,F2F,3,40,T R,12:30PM,1:45PM,MCB 209
80093,AAEC,AAEC 5014,MT Holt,Applied Economic Analytics,OnlineAsync,3,30,(ARR),(ARR),(ARR),00X
80094,AAEC,AAEC 5025,BF Mills,Applied Microeconomics,F2F,3,25,T R,9:30AM,10:45AM,HUTCH 302
80095,AAEC,AAEC 5025,BF Mills,Applied Microeconomics,OnlineAsync,3,20,(ARR),(ARR),(ARR),00X
80096,AAEC,AAEC 5054,DW Dalton,Strategic Agribusiness Mgmt,OnlineAsync,3,20,(ARR),(ARR),(ARR),00X
80097,AAEC,AAEC 5084,GC Davis,Contemporary Food Systems,OnlineAsync,3,20,(ARR),(ARR),(ARR),00X
80098,AAEC,AAEC 5125,A Spanos,Empirical Economics,F2F,3,32,T R,11:00AM,12:15PM,PAM 2001
80099,AAEC,AAEC 5244,JR Alwang,Rural Development,F2F,3,5,T R,9:30AM,10:45AM,LITRV 1770
91058,AAEC,AAEC 5544,E Benami,Remote Sens in Social Sciences,F2F,4,30,M W,2:30PM,3:45PM,USLB 210
80100,AAEC,AAEC 5824,Z Chen,Adv Applied Economic Analytics,OnlineAsync,3,20,(ARR),(ARR),(ARR),00X
80105,AAEC,AAEC 5946,CL Ta,Econometric Theory & Practice,F2F,3,40,T R,9:30AM,10:45AM,PAM 3001
80110,AAEC,AAEC 6004,C Holmes,Research & Prof Dev Seminar,F2F,1,30,W,12:20PM,1:10PM,SMYTH 331
