crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
80061,AAD-1004,"Exploring Arch, Arts, & Design",L,Face-to-Face Instruction,2,45,RJ Jacks,T R,11:00AM,12:15PM,WHIT 257,11T
80062,AAD-1204,Thinking Globally,L,Face-to-Face Instruction,1,48,GW Hamming,W,2:30PM,3:20PM,WLH 345,00X
80063,AAD-1204,Thinking Globally,L,Face-to-Face Instruction,1,48,GW Hamming,M,2:30PM,3:20PM,WLH 345,00X
80064,AAD-4234,Capstone Collaborations,L,Face-to-Face Instruction,3,15,BR Kirkland,W,9:30AM,12:00PM,BURCH 021,09W
80065,AAEC-1005,Econ Food Fiber Sys,L,Face-to-Face Instruction,3,600,MJ Ellerbrock,M W F,10:10AM,11:00AM,SQUIR COLNL,10M
80066,AAEC-1005,Econ Food Fiber Sys,L,Face-to-Face Instruction,3,100,PW Vertino de Queiroz,M W F,11:15AM,12:05PM,LITRV 1870,11M
80067,AAEC-1006,Econ Food Fiber Syst,L,Face-to-Face Instruction,3,55,R Ojha,M W F,11:15AM,12:05PM,WLH 350,11M
80068,AAEC-1006,Econ Food Fiber Syst,L,Face-to-Face Instruction,3,296,MJ Ellerbrock,M W F,12:20PM,1:10PM,LITRV 1670,12M
80069,AAEC-2104,Personal Financial Planning,L,Face-to-Face Instruction,3,600,WA White,M W F,9:05AM,9:55AM,SQUIR COLNL,09M
80070,AAEC-2434,Foundations of Agribusiness,L,Face-to-Face Instruction,3,127,PW Vertino de Queiroz,M W,2:30PM,3:45PM,SMYTH 146,14M
80071,AAEC-2974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80072,AAEC-3004,Agr Prod & Cons Econ,L,Face-to-Face Instruction,3,52,C Holmes,T R,3:30PM,4:45PM,LITRV 1760,15T
80073,AAEC-3015,AAEC Internship,L,Face-to-Face Instruction,1,35,PM Mercadante,M,12:20PM,1:10PM,LITRV 200,00X
80074,AAEC-3015,AAEC Internship,L,Face-to-Face Instruction,1,35,PM Mercadante,W,1:25PM,2:15PM,PAM 2003,00X
80075,AAEC-3204,Intl Agri Dvlp & Trad,L,Face-to-Face Instruction,3,40,A Gupta,T R,11:00AM,12:15PM,MCB 218,11T
80076,AAEC-3314,Environmental Law,L,Face-to-Face Instruction,3,96,J Friedel,T R,12:30PM,1:45PM,MCB 113,12T
80077,AAEC-3324,Environment Sustain Dev Econ,L,Face-to-Face Instruction,3,45,W Zhang,T R,9:30AM,10:45AM,HUTCH 209,09T
80078,AAEC-3454,Small Bus Mgt and Ent,L,Face-to-Face Instruction,3,32,PM Mercadante,T R,9:30AM,10:45AM,MCB 233,09T
80079,AAEC-3504,Marketing Ag Products,L,Face-to-Face Instruction,3,96,PW Vertino de Queiroz,M W,4:00PM,5:15PM,MCB 113,16M
80080,AAEC-3514,Ag Futures,L,Face-to-Face Instruction,3,60,O Isengildina Massa,M W F,1:25PM,2:15PM,FST 27,13M
91688,AAEC-3984,SS: Cooperatives & Impacts,ONLINE COURSE - VL,Online: Asynchronous,3,60,DW Dalton,(ARR),----- (ARR) -----,ONLINE,00X,
80081,AAEC-4324,Rural Regional Dvlp Policy,L,Face-to-Face Instruction,3,35,JR Alwang,T R,9:30AM,10:45AM,LITRV 1770,09T
80082,AAEC-4424,Ag Financial Management,L,Face-to-Face Instruction,3,48,WA White,M W,4:00PM,5:15PM,HUTCH 209,16M
80083,AAEC-4434,Commodity Invest by Students,L,Face-to-Face Instruction,2,35,O Isengildina Massa,W,5:30PM,6:30PM,FRALN 102,17W
,,,,* Additional Times *,F,2:30PM,3:30PM,FRALN 102,,,,
80084,AAEC-4514,Adv Agribus Mkting,L,Face-to-Face Instruction,3,40,PM Mercadante,T R,12:30PM,1:45PM,MCB 209,12T
80085,AAEC-4964,Field Study,L,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80086,AAEC-4974,Independent Study,I,,1 TO 19,0,WA White,(ARR),----- (ARR) -----,TBA,00X,
